REL	COMPILE	SEED	RUN	NCOUNT	MAX_TF	LAST_NU	LAST_RE	TARGET_TF	POLICY	GRID	ABORT	FORMAL	DISS
FLOW_BGK/Ra1e10/chinu0.5_chikappa0.5/results	0	NA	0	1001	1.0000000000000000E+003	2.2813371089235540E+002	5.9598808705988420E+004	1000.0d0	#define FLOW_BGK	2049x2049	NONE	5.0000000000000000E+002_7.5000000000000000E+002_1.0000000000000000E+003_501_250_251_9.4104363187683433E+001_6.0272272228680500E+004_9.4013089505337561E+001_6.0489255760113127E+004_9.4195273229860391E+001_6.0055373883386201E+004_1.9341068641337761E-001%_7.2246969533388505E-001%	Nu=9.4195273229860391E+001,Re=6.0055373883386193E+004,wall=1.4016714809026558E+000%,kin=1.0738920891009636E+000%,therm=6.5111746638285917E+000%,Ru=1.0108541512081579E+000,RT=1.0651117466382860E+000
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.0_chikappa0.0/results	0	NA	86	31	3.0000000000000000E+001	7.0217710464831441E+002	4.0312812001494021E+004	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_1099632_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.1_chikappa0.1/results	0	NA	86	27	2.6000000000000000E+001	2.1867151692989961E+002	2.4530539535341170E+004	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_957744_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.2_chikappa0.2/results	0	NA	86	16	1.5000000000000000E+001	2.1046369645894066E+002	1.2522623376584665E+004	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_567552_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.3_chikappa0.3/results	0	NA	86	15	1.4000000000000000E+001	2.5144126718520394E+002	8.9273251598765073E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.4_chikappa0.4/results	0	NA	86	15	1.4000000000000000E+001	2.5116264924953671E+002	8.9271946406984280E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.5_chikappa0.5/results	0	NA	86	15	1.4000000000000000E+001	2.5088040187784534E+002	8.9270280065918432E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.6_chikappa0.6/results	0	NA	86	15	1.4000000000000000E+001	2.5059540475537440E+002	8.9268271584189588E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.7_chikappa0.7/results	0	NA	86	15	1.4000000000000000E+001	2.5030671068369494E+002	8.9265973525545269E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.8_chikappa0.8/results	0	NA	86	15	1.4000000000000000E+001	2.5000611659273162E+002	8.9263516819872475E+003	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_532080_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.99_chikappa0.99/continuation_t1000_latest/results	0	NA	1	101	1.0000000000000000E+002	8.9081259468068794E+001	4.9660944736599122E+004	1000.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONE	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.99_chikappa0.99/continuation_t1000_latest_retry1/results	0	NA	86	259	2.5800000000000000E+002	1.1415782424325403E+002	5.4784355499116151E+004	1000.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_9187248_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.99_chikappa0.99/results	0	NA	0	101	1.0000000000000000E+002	8.9081259468068794E+001	4.9660944736599122E+004	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONE	5.0000000000000000E+001_7.5000000000000000E+001_1.0000000000000000E+002_51_25_26_9.3107363460496202E+001_4.8230451197285227E+004_9.4588775977767014E+001_4.7462661490989245E+004_9.1682928347735810E+001_4.8957356507857352E+004_3.1694533348780913E+000%_3.0530549921097507E+000%	Nu=9.1682928347735810E+001,Re=4.8957356507857345E+004,wall=3.2347023542187725E+000%,kin=1.3860599822149787E+001%,therm=3.4307861495835152E+000%,Ru=8.5986553329223969E-001,RT=1.0343078614958352E+000
ORIGINAL_CHI_EQUAL_SCAN/Ra1e10_t100_latest/chinu0.9_chikappa0.9/results	0	NA	86	19	1.8000000000000000E+001	6.1155392884027515E+002	2.0588713680676818E+004	100.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2048x2048	NONFINITE_ABORT:_itc/count/i/j/variable_=_673968_/_16777216_1_1_/_rho	NONE	NONE
ORIGINAL/Ra1e10/chinu0.5_chikappa0.5/results	0	NA	86	15	1.4000000000000000E+001	2.5081708885764775E+002	8.9269680071496659E+003	1000.0d0	#define FLOW_ODD_ORIGINAL_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.5000000000000000E+001_absolute_itc_=_532346	NONE	NONE
